Program Name,Campus,Duration (years)
Environmental Engineering,Vancouver,4
Environmental Engineering (joint UNBC/UBC),Vancouver,4.5
Environmental Sciences,Vancouver,4
Forest Management,Vancouver,4
Forest Operations,Vancouver,4
Forest Sciences,Vancouver,4
Freshwater Science,Okanagan,4
General Science,Okanagan,4
General Studies,Okanagan,4
Geographical Sciences,Vancouver,4
Geography,Okanagan,4
Geography: Environment and Sustainability,Vancouver,4
Geography: Human Geography,Vancouver,4
Geology,Vancouver,4
Geophysics,Vancouver,4
Global Resource Systems,Vancouver,4
Indigenous Land Stewardship,Vancouver,4.0
Integrated Sciences,Vancouver,4
Interdisciplinary Studies,Vancouver,4
Oceanography,Vancouver,4
Sustainability,Okanagan,4
Sustainable Agriculture and Environment,Vancouver,4
Urban Forestry,Vancouver,4
Urban Studies,Vancouver,4
Wood Products,Vancouver,4
Education: Elementary and Middle Years,Vancouver,11
Education: Indigenous Teacher Education Program (NITEP),Vancouver,5
Education: International Baccalaureate,Vancouver,11
Education: Secondary,Vancouver,11
Education: West Kootenay Teacher Education Program (WKTEP),Vancouver,11
Education: Teaching Adolescents,Okanagan,16
Education: Teaching Children,Okanagan,16
Architecture,Vancouver,3
Bioeconomy Sciences and Technology,Vancouver,4
Biomedical Engineering,Vancouver,4
Chemical Engineering,Vancouver,4
Chemical and Biological Engineering,Vancouver,4
Civil Engineering,Okanagan,4
Civil Engineering,Vancouver,4
Cognitive Systems (BSc),Vancouver,4
Combined Majors in Statistics,Vancouver,4
Computer Engineering,Okanagan,4.0
Computer Engineering,Vancouver,4
Computer Science (BA),Okanagan,4
Computer Science (BA),Vancouver,4
Computer Science (BSc),Okanagan,4
Computer Science (BSc),Vancouver,4
Data Science,Okanagan,4
Electrical Engineering,Okanagan,4
Electrical Engineering,Vancouver,4
Engineering Physics,Vancouver,5
Environmental Design,Vancouver,2
Environmental Engineering,Vancouver,4
Environmental Engineering (joint UNBC/UBC),Vancouver,4.5
Forest Operations,Vancouver,4
Geological Engineering,Vancouver,4
Integrated Computer Science,Vancouver,20
Integrated Engineering,Vancouver,4
Manufacturing Engineering,Okanagan,4
Manufacturing Engineering,Vancouver,4
Materials Engineering,Vancouver,4
Mechanical Engineering,Okanagan,4
Mechanical Engineering,Vancouver,4
Mining Engineering,Vancouver,4
Vantage One: Applied Science (Engineering),Vancouver,11
Vantage One: Science,Vancouver,11
Wood Products,Vancouver,4
Bachelor + Master of Management Dual Degree,Okanagan,4.5
Bachelor + Master of Management Dual Degree,Vancouver,4.5
Bioeconomy Sciences and Technology,Vancouver,4
Business and Computer Science,Vancouver,4
Business and Markets,Vancouver,4
Combined Majors in Statistics,Vancouver,4
Commerce,Vancouver,4
Data Analytics,Vancouver,4
Economics,Vancouver,4
Economics (BA),Okanagan,4
Economics (BSc),Okanagan,4
Forest Operations,Vancouver,4
General Studies,Okanagan,4
Interdisciplinary Studies,Vancouver,4
International Economics,Vancouver,4
Management,Okanagan,4
Manufacturing Engineering,Okanagan,4
Manufacturing Engineering,Vancouver,4
Mathematics and Economics,Vancouver,4
"Philosophy, Politics, and Economics",Okanagan,4
Wood Products,Vancouver,4
Archaeology,Vancouver,4
"Architecture, Landscape Architecture, and Urbanism",Vancouver,4
Atmospheric Science,Vancouver,4
Bioeconomy Sciences and Technology,Vancouver,4
Business and Markets,Vancouver,4
Combined Major in Science,Vancouver,4
Conservation,Vancouver,4
Data Analytics,Vancouver,4
Earth and Environmental Sciences,Okanagan,4
Earth and Ocean Sciences,Vancouver,4
"Ecology, Evolution, and Conservation Biology",Okanagan,4
Environmental Chemistry,Okanagan,4
Environmental Engineering,Vancouver,4
Environmental Engineering (joint UNBC/UBC),Vancouver,4.5
Environmental Sciences,Vancouver,4
Forest Management,Vancouver,4
Forest Operations,Vancouver,4
Forest Sciences,Vancouver,4
Freshwater Science,Okanagan,4
General Science,Okanagan,4
General Studies,Okanagan,4
Geographical Sciences,Vancouver,4
Geography,Okanagan,4
Geography: Environment and Sustainability,Vancouver,4
Geography: Human Geography,Vancouver,4
Geology,Vancouver,4
Geophysics,Vancouver,4
Global Resource Systems,Vancouver,4
Indigenous Land Stewardship,Vancouver,4.0
Integrated Sciences,Vancouver,4
Interdisciplinary Studies,Vancouver,4
Oceanography,Vancouver,4
Sustainability,Okanagan,4
Sustainable Agriculture and Environment,Vancouver,4
Urban Forestry,Vancouver,4
Urban Studies,Vancouver,4
Wood Products,Vancouver,4
Education: Elementary and Middle Years,Vancouver,11
Education: Indigenous Teacher Education Program (NITEP),Vancouver,5
Education: International Baccalaureate,Vancouver,11
Education: Secondary,Vancouver,11
Education: West Kootenay Teacher Education Program (WKTEP),Vancouver,11
Education: Teaching Adolescents,Okanagan,16
Education: Teaching Children,Okanagan,16
Architecture,Vancouver,3
Bioeconomy Sciences and Technology,Vancouver,4
Biomedical Engineering,Vancouver,4
Chemical Engineering,Vancouver,4
Chemical and Biological Engineering,Vancouver,4
Civil Engineering,Okanagan,4
Civil Engineering,Vancouver,4
Cognitive Systems (BSc),Vancouver,4
Combined Majors in Statistics,Vancouver,4
Computer Engineering,Okanagan,4.0
Computer Engineering,Vancouver,4
Computer Science (BA),Okanagan,4
Computer Science (BA),Vancouver,4
Computer Science (BSc),Okanagan,4
Computer Science (BSc),Vancouver,4
Data Science,Okanagan,4
Electrical Engineering,Okanagan,4
Electrical Engineering,Vancouver,4
Engineering Physics,Vancouver,5
Environmental Design,Vancouver,2
Environmental Engineering,Vancouver,4
Environmental Engineering (joint UNBC/UBC),Vancouver,4.5
Forest Operations,Vancouver,4
Geological Engineering,Vancouver,4
Integrated Computer Science,Vancouver,20
Integrated Engineering,Vancouver,4
Manufacturing Engineering,Okanagan,4
Manufacturing Engineering,Vancouver,4
Materials Engineering,Vancouver,4
Mechanical Engineering,Okanagan,4
Mechanical Engineering,Vancouver,4
Mining Engineering,Vancouver,4
Vantage One: Applied Science (Engineering),Vancouver,11
Vantage One: Science,Vancouver,11
Wood Products,Vancouver,4
Applied Animal Biology,Vancouver,4
Biochemistry,Vancouver,4
Biochemistry and Molecular Biology,Okanagan,4
Biology,Okanagan,4
Biology,Vancouver,4
Biomedical Engineering,Vancouver,4
Biophysics,Vancouver,4
Biotechnology,Vancouver,5
"Cellular, Anatomical, and Physiological Sciences",Vancouver,4
Cognitive Systems (BSc),Vancouver,4
Combined Major in Science,Vancouver,4
Dental Hygiene,Vancouver,4
Dentistry,Vancouver,4
Dietetics,Vancouver,5
"Ecology, Evolution, and Conservation Biology",Okanagan,4
Food Science,Vancouver,4
Food and Nutritional Sciences,Vancouver,5
"Food, Nutrition, and Health",Vancouver,4
Freshwater Science,Okanagan,4
General Science,Okanagan,4
General Studies,Okanagan,4
Health and Exercise Sciences (Kinesiology),Okanagan,4
Integrated Sciences,Vancouver,4
Interdisciplinary Studies,Vancouver,4
Kinesiology: Multidisciplinary Science,Vancouver,4
Kinesiology: Neuromechanical and Physiological Sciences,Vancouver,4
Kinesiology: Social and Behavioural Sciences,Vancouver,4
Medical Laboratory Science,Vancouver,2
Medicine,Okanagan,4
Microbiology,Okanagan,4
Microbiology and Immunology,Vancouver,4
Midwifery,Vancouver,4
Neuroscience,Vancouver,4.0
Nursing,Okanagan,4
Nursing,Vancouver,20
Nutritional Sciences,Vancouver,4
Pharmaceutical Sciences,Vancouver,4
Pharmacology,Vancouver,4
Pharmacy,Vancouver,4
Psychology,Vancouver,4
Psychology (BA),Okanagan,4
Psychology (BSc),Okanagan,4
Speech Sciences,Vancouver,4
Urban Forestry,Vancouver,4
Vantage One: Science,Vancouver,11
Zoology,Okanagan,4
Bachelor + Master of Management Dual Degree,Okanagan,4.5
Bachelor + Master of Management Dual Degree,Vancouver,4.5
Bioeconomy Sciences and Technology,Vancouver,4
Business and Computer Science,Vancouver,4
Business and Markets,Vancouver,4
Combined Majors in Statistics,Vancouver,4
Commerce,Vancouver,4
Data Analytics,Vancouver,4
Economics,Vancouver,4
Economics (BA),Okanagan,4
Economics (BSc),Okanagan,4
Forest Operations,Vancouver,4
General Studies,Okanagan,4
Interdisciplinary Studies,Vancouver,4
International Economics,Vancouver,4
Management,Okanagan,4
Manufacturing Engineering,Okanagan,4
Manufacturing Engineering,Vancouver,4
Mathematics and Economics,Vancouver,4
"Philosophy, Politics, and Economics",Okanagan,4
Wood Products,Vancouver,4
Archaeology,Vancouver,4
"Architecture, Landscape Architecture, and Urbanism",Vancouver,4
Atmospheric Science,Vancouver,4
Bioeconomy Sciences and Technology,Vancouver,4
Business and Markets,Vancouver,4
Combined Major in Science,Vancouver,4
Conservation,Vancouver,4
Data Analytics,Vancouver,4
Earth and Environmental Sciences,Okanagan,4
Earth and Ocean Sciences,Vancouver,4
"Ecology, Evolution, and Conservation Biology",Okanagan,4
Environmental Chemistry,Okanagan,4
Environmental Engineering,Vancouver,4
Environmental Engineering (joint UNBC/UBC),Vancouver,4.5
Environmental Sciences,Vancouver,4
Forest Management,Vancouver,4
Forest Operations,Vancouver,4
Forest Sciences,Vancouver,4
Freshwater Science,Okanagan,4
General Science,Okanagan,4
General Studies,Okanagan,4
Geographical Sciences,Vancouver,4
Geography,Okanagan,4
Geography: Environment and Sustainability,Vancouver,4
Geography: Human Geography,Vancouver,4
Geology,Vancouver,4
Geophysics,Vancouver,4
Global Resource Systems,Vancouver,4
Indigenous Land Stewardship,Vancouver,4.0
Integrated Sciences,Vancouver,4
Interdisciplinary Studies,Vancouver,4
Oceanography,Vancouver,4
Sustainability,Okanagan,4
Sustainable Agriculture and Environment,Vancouver,4
Urban Forestry,Vancouver,4
Urban Studies,Vancouver,4
Wood Products,Vancouver,4
Education: Elementary and Middle Years,Vancouver,11
Education: Indigenous Teacher Education Program (NITEP),Vancouver,5
Education: International Baccalaureate,Vancouver,11
Education: Secondary,Vancouver,11
Education: West Kootenay Teacher Education Program (WKTEP),Vancouver,11
Education: Teaching Adolescents,Okanagan,16
Education: Teaching Children,Okanagan,16
Architecture,Vancouver,3
Bioeconomy Sciences and Technology,Vancouver,4
Biomedical Engineering,Vancouver,4
Chemical Engineering,Vancouver,4
Chemical and Biological Engineering,Vancouver,4
Civil Engineering,Okanagan,4
Civil Engineering,Vancouver,4
Cognitive Systems (BSc),Vancouver,4
Combined Majors in Statistics,Vancouver,4
Computer Engineering,Okanagan,4.0
Computer Engineering,Vancouver,4
Computer Science (BA),Okanagan,4
Computer Science (BA),Vancouver,4
Computer Science (BSc),Okanagan,4
Computer Science (BSc),Vancouver,4
Data Science,Okanagan,4
Electrical Engineering,Okanagan,4
Electrical Engineering,Vancouver,4
Engineering Physics,Vancouver,5
Environmental Design,Vancouver,2
Environmental Engineering,Vancouver,4
Environmental Engineering (joint UNBC/UBC),Vancouver,4.5
Forest Operations,Vancouver,4
Geological Engineering,Vancouver,4
Integrated Computer Science,Vancouver,20
Integrated Engineering,Vancouver,4
Manufacturing Engineering,Okanagan,4
Manufacturing Engineering,Vancouver,4
Materials Engineering,Vancouver,4
Mechanical Engineering,Okanagan,4
Mechanical Engineering,Vancouver,4
Mining Engineering,Vancouver,4
Vantage One: Applied Science (Engineering),Vancouver,11
Vantage One: Science,Vancouver,11
Wood Products,Vancouver,4
Applied Animal Biology,Vancouver,4
Biochemistry,Vancouver,4
Biochemistry and Molecular Biology,Okanagan,4
Biology,Okanagan,4
Biology,Vancouver,4
Biomedical Engineering,Vancouver,4
Biophysics,Vancouver,4
Biotechnology,Vancouver,5
"Cellular, Anatomical, and Physiological Sciences",Vancouver,4
Cognitive Systems (BSc),Vancouver,4
Combined Major in Science,Vancouver,4
Dental Hygiene,Vancouver,4
Dentistry,Vancouver,4
Dietetics,Vancouver,5
"Ecology, Evolution, and Conservation Biology",Okanagan,4
Food Science,Vancouver,4
Food and Nutritional Sciences,Vancouver,5
"Food, Nutrition, and Health",Vancouver,4
Freshwater Science,Okanagan,4
General Science,Okanagan,4
General Studies,Okanagan,4
Health and Exercise Sciences (Kinesiology),Okanagan,4
Integrated Sciences,Vancouver,4
Interdisciplinary Studies,Vancouver,4
Kinesiology: Multidisciplinary Science,Vancouver,4
Kinesiology: Neuromechanical and Physiological Sciences,Vancouver,4
Kinesiology: Social and Behavioural Sciences,Vancouver,4
Medical Laboratory Science,Vancouver,2
Medicine,Okanagan,4
Microbiology,Okanagan,4
Microbiology and Immunology,Vancouver,4
Midwifery,Vancouver,4
Neuroscience,Vancouver,4.0
Nursing,Okanagan,4
Nursing,Vancouver,20
Nutritional Sciences,Vancouver,4
Pharmaceutical Sciences,Vancouver,4
Pharmacology,Vancouver,4
Pharmacy,Vancouver,4
Psychology,Vancouver,4
Psychology (BA),Okanagan,4
Psychology (BSc),Okanagan,4
Speech Sciences,Vancouver,4
Urban Forestry,Vancouver,4
Vantage One: Science,Vancouver,11
Zoology,Okanagan,4
Ancient Mediterranean and Near Eastern Studies,Vancouver,4
Asian Area Studies,Vancouver,4
Canadian Studies,Vancouver,4
First Nations and Indigenous Studies,Vancouver,4
General Studies,Okanagan,4
History,Okanagan,4
History,Vancouver,4
Indigenous Studies,Okanagan,4
Interdisciplinary Studies,Vancouver,4
International Relations,Okanagan,4
International Relations,Vancouver,4
Latin American Studies,Vancouver,4
Law,Vancouver,3
Medieval Studies,Vancouver,4
Modern European Studies,Vancouver,4
"Philosophy, Politics, and Economics",Okanagan,4
Political Science,Okanagan,4
Political Science,Vancouver,4
Religion,Vancouver,4
United States Studies,Vancouver,4
Bachelor + Master of Management Dual Degree,Okanagan,4.5
Bachelor + Master of Management Dual Degree,Vancouver,4.5
Bioeconomy Sciences and Technology,Vancouver,4
Business and Computer Science,Vancouver,4
Business and Markets,Vancouver,4
Combined Majors in Statistics,Vancouver,4
Commerce,Vancouver,4
Data Analytics,Vancouver,4
Economics,Vancouver,4
Economics (BA),Okanagan,4
Economics (BSc),Okanagan,4
Forest Operations,Vancouver,4
General Studies,Okanagan,4
Interdisciplinary Studies,Vancouver,4
International Economics,Vancouver,4
Management,Okanagan,4
Manufacturing Engineering,Okanagan,4
Manufacturing Engineering,Vancouver,4
Mathematics and Economics,Vancouver,4
"Philosophy, Politics, and Economics",Okanagan,4
Wood Products,Vancouver,4
Archaeology,Vancouver,4
"Architecture, Landscape Architecture, and Urbanism",Vancouver,4
Atmospheric Science,Vancouver,4
Bioeconomy Sciences and Technology,Vancouver,4
Business and Markets,Vancouver,4
Combined Major in Science,Vancouver,4
Conservation,Vancouver,4
Data Analytics,Vancouver,4
Earth and Environmental Sciences,Okanagan,4
Earth and Ocean Sciences,Vancouver,4
"Ecology, Evolution, and Conservation Biology",Okanagan,4
Environmental Chemistry,Okanagan,4
Environmental Engineering,Vancouver,4
Environmental Engineering (joint UNBC/UBC),Vancouver,4.5
Environmental Sciences,Vancouver,4
Forest Management,Vancouver,4
Forest Operations,Vancouver,4
Forest Sciences,Vancouver,4
Freshwater Science,Okanagan,4
General Science,Okanagan,4
General Studies,Okanagan,4
Geographical Sciences,Vancouver,4
Geography,Okanagan,4
Geography: Environment and Sustainability,Vancouver,4
Geography: Human Geography,Vancouver,4
Geology,Vancouver,4
Geophysics,Vancouver,4
Global Resource Systems,Vancouver,4
Indigenous Land Stewardship,Vancouver,4.0
Integrated Sciences,Vancouver,4
Interdisciplinary Studies,Vancouver,4
Oceanography,Vancouver,4
Sustainability,Okanagan,4
Sustainable Agriculture and Environment,Vancouver,4
Urban Forestry,Vancouver,4
Urban Studies,Vancouver,4
Wood Products,Vancouver,4
Education: Elementary and Middle Years,Vancouver,11
Education: Indigenous Teacher Education Program (NITEP),Vancouver,5
Education: International Baccalaureate,Vancouver,11
Education: Secondary,Vancouver,11
Education: West Kootenay Teacher Education Program (WKTEP),Vancouver,11
Education: Teaching Adolescents,Okanagan,16
Education: Teaching Children,Okanagan,16
Architecture,Vancouver,3
Bioeconomy Sciences and Technology,Vancouver,4
Biomedical Engineering,Vancouver,4
Chemical Engineering,Vancouver,4
Chemical and Biological Engineering,Vancouver,4
Civil Engineering,Okanagan,4
Civil Engineering,Vancouver,4
Cognitive Systems (BSc),Vancouver,4
Combined Majors in Statistics,Vancouver,4
Computer Engineering,Okanagan,4.0
Computer Engineering,Vancouver,4
Computer Science (BA),Okanagan,4
Computer Science (BA),Vancouver,4
Computer Science (BSc),Okanagan,4
Computer Science (BSc),Vancouver,4
Data Science,Okanagan,4
Electrical Engineering,Okanagan,4
Electrical Engineering,Vancouver,4
Engineering Physics,Vancouver,5
Environmental Design,Vancouver,2
Environmental Engineering,Vancouver,4
Environmental Engineering (joint UNBC/UBC),Vancouver,4.5
Forest Operations,Vancouver,4
Geological Engineering,Vancouver,4
Integrated Computer Science,Vancouver,20
Integrated Engineering,Vancouver,4
Manufacturing Engineering,Okanagan,4
Manufacturing Engineering,Vancouver,4
Materials Engineering,Vancouver,4
Mechanical Engineering,Okanagan,4
Mechanical Engineering,Vancouver,4
Mining Engineering,Vancouver,4
Vantage One: Applied Science (Engineering),Vancouver,11
Vantage One: Science,Vancouver,11
Wood Products,Vancouver,4
Applied Animal Biology,Vancouver,4
Biochemistry,Vancouver,4
Biochemistry and Molecular Biology,Okanagan,4
Biology,Okanagan,4
Biology,Vancouver,4
Biomedical Engineering,Vancouver,4
Biophysics,Vancouver,4
Biotechnology,Vancouver,5
"Cellular, Anatomical, and Physiological Sciences",Vancouver,4
Cognitive Systems (BSc),Vancouver,4
Combined Major in Science,Vancouver,4
Dental Hygiene,Vancouver,4
Dentistry,Vancouver,4
Dietetics,Vancouver,5
"Ecology, Evolution, and Conservation Biology",Okanagan,4
Food Science,Vancouver,4
Food and Nutritional Sciences,Vancouver,5
"Food, Nutrition, and Health",Vancouver,4
Freshwater Science,Okanagan,4
General Science,Okanagan,4
General Studies,Okanagan,4
Health and Exercise Sciences (Kinesiology),Okanagan,4
Integrated Sciences,Vancouver,4
Interdisciplinary Studies,Vancouver,4
Kinesiology: Multidisciplinary Science,Vancouver,4
Kinesiology: Neuromechanical and Physiological Sciences,Vancouver,4
Kinesiology: Social and Behavioural Sciences,Vancouver,4
Medical Laboratory Science,Vancouver,2
Medicine,Okanagan,4
Microbiology,Okanagan,4
Microbiology and Immunology,Vancouver,4
Midwifery,Vancouver,4
Neuroscience,Vancouver,4.0
Nursing,Okanagan,4
Nursing,Vancouver,20
Nutritional Sciences,Vancouver,4
Pharmaceutical Sciences,Vancouver,4
Pharmacology,Vancouver,4
Pharmacy,Vancouver,4
Psychology,Vancouver,4
Psychology (BA),Okanagan,4
Psychology (BSc),Okanagan,4
Speech Sciences,Vancouver,4
Urban Forestry,Vancouver,4
Vantage One: Science,Vancouver,11
Zoology,Okanagan,4
Ancient Mediterranean and Near Eastern Studies,Vancouver,4
Asian Area Studies,Vancouver,4
